,id,city,category,district,size,year of construction,number of rooms,floor,Total floors,elevator,parking,storage,date,price per meter (Toman),total price (Toman)
671,AZSiuObV,tehran,buy-apartment,tarasht,75,1399,2,4,5,yes,yes,yes,2023-06-21,"99,333,000","7,450,000,000"
672,AZ3RzA3x,tehran,buy-apartment,north-jannat-abad,85,1397,2,5,5,yes,yes,yes,2023-06-21,"98,823,000","8,400,000,000"
673,AZZ9OS5X,tehran,buy-apartment,sanaey,112,1402,2,3,5,yes,yes,yes,2023-06-21,"127,946,000","14,330,000,000"
674,AZOS7SQn,tehran,buy-apartment,jeyhoon,51,1382,1,1,3,no,no,yes,2023-06-21,"51,568,000","2,630,000,000"
675,AZRmZ6NE,tehran,buy-apartment,seyyed-khandan,105,1402,2,2,6,yes,yes,yes,2023-06-21,"123,809,000","13,000,000,000"
676,AZv1hprf,tehran,buy-apartment,sohrevardi,91,1402,2,3,4,yes,yes,yes,2023-06-21,"130,000,000","11,830,000,000"
677,AZYJscp8,tehran,buy-apartment,behjat-abad,225,1402,3,2,5,yes,yes,yes,2023-06-21,"120,000,000","27,000,000,000"
678,AZP6eStQ,tehran,buy-apartment,south-shahran,112,1395,2,1,5,yes,yes,yes,2023-06-21,"108,928,000","12,200,000,000"
679,AZ11ZO8e,tehran,buy-apartment,zamzam,96,1400,2,2,5,yes,yes,no,2023-06-21,"50,000,000","4,800,000,000"
680,AZRyvK2h,tehran,buy-apartment,dehkadeh-olympic,140,1397,3,14,NA,yes,yes,yes,2023-06-21,"112,000,000","15,680,000,000"
681,AZRa_NHN,tehran,buy-apartment,kuy-ferdows,65,1381,2,hmkhf,4,no,yes,yes,2023-06-21,"97,692,000","6,350,000,000"
682,AZQaU63E,tehran,buy-apartment,aqdasiyeh,205,1382,4,6,NA,yes,yes,yes,2023-06-21,"165,365,000","33,900,000,000"
683,AZ-9dbNX,tehran,buy-apartment,jordan,118,1384,2,2,NA,yes,yes,yes,2023-06-21,"116,949,000","13,800,000,000"
684,AZ49qzCb,tehran,buy-apartment,chitgar,60,1402,1,8,19,yes,yes,yes,2023-06-21,"26,666,000","1,600,000,000"
685,AZ4tJH94,tehran,buy-apartment,chitgar,130,1402,3,6,NA,yes,yes,yes,2023-06-21,"31,692,000","4,120,000,000"
686,AZNWKgN1,tehran,buy-apartment,darrous,130,1398,2,5,NA,yes,yes,yes,2023-06-21,"220,000,000","28,600,000,000"
687,AZSmuFQ8,tehran,buy-apartment,yousef-abad,78,1397,2,1,NA,yes,yes,yes,2023-06-21,"138,461,000","10,800,000,000"
688,AZ1dpS73,tehran,buy-apartment,chitgar,132,1402,3,7,NA,yes,yes,yes,2023-06-21,"14,772,000","1,950,000,000"
689,AZPalriH,tehran,buy-apartment,sartakht,95,1398,2,2,NA,yes,yes,yes,2023-06-21,"57,894,000","5,500,000,000"
690,AZSmuON_,tehran,buy-apartment,iran-shahr,100,1373,2,3,4,no,yes,yes,2023-06-21,"65,000,000","6,500,000,000"
691,AZSmOUcn,tehran,buy-apartment,mobarak-abad-beheshti,110,1402,2,2,NA,yes,yes,yes,2023-06-21,"25,000,000","2,750,000,000"
692,AZSupJBb,tehran,buy-apartment,velenjak,210,1388,3,5,5,yes,yes,yes,2023-06-21,"160,000,000","33,600,000,000"
693,AZttuilE,tehran,buy-apartment,north-shahran,85,1388,2,1,5,yes,yes,yes,2023-06-21,"103,529,000","8,800,000,000"
694,AZQ2YUnX,tehran,buy-apartment,central-jannat-abad,88,1394,2,1,5,yes,yes,yes,2023-06-21,"105,340,000","9,270,000,000"
695,AZNGL5Z8,tehran,buy-apartment,jordan,135,1385,3,4,5,yes,yes,yes,2023-06-21,"132,592,000","17,900,000,000"
696,AZSqOIb0,tehran,buy-apartment,hashemi,40,1382,1,1,4,no,no,yes,2023-06-21,"68,000,000","2,720,000,000"
697,AZI6lXVT,tehran,buy-apartment,sohrevardi,120,1402,2,3,5,yes,yes,yes,2023-06-21,"135,000,000","16,200,000,000"
698,AZ0J07em,tehran,buy-apartment,sohrevardi,80,1388,2,1,5,yes,yes,yes,2023-06-21,"108,125,000","8,650,000,000"
699,AZIOWSU4,tehran,buy-apartment,sohrevardi,100,1402,2,3,5,yes,yes,yes,2023-06-21,"135,000,000","13,500,000,000"
700,AZ05J5A1,tehran,buy-apartment,sohrevardi,111,1400,3,3,5,yes,yes,yes,2023-06-21,"154,954,000","17,200,000,000"
701,AZPGxnzc,tehran,buy-apartment,saadat-abad,105,1397,2,3,NA,yes,yes,yes,2023-06-21,"145,714,000","15,300,000,000"
702,AZ_lwrZ5,tehran,buy-apartment,south-shahran,93,1396,2,8,NA,yes,yes,yes,2023-06-21,"107,526,000","10,000,000,000"
703,AZB-fmbz,tehran,buy-apartment,punak,105,1392,2,2,NA,yes,yes,yes,2023-06-21,"85,714,000","9,000,000,000"
704,AZSm-1Ux,tehran,buy-apartment,saadat-abad,230,1402,3,6,NA,yes,yes,yes,2023-06-21,"320,000,000","73,600,000,000"
705,AZSyqHV2,tehran,buy-apartment,jeyhoon,64,1394,2,4,4,yes,yes,yes,2023-06-21,"79,687,000","5,100,000,000"
706,AZ2l_fQC,tehran,buy-apartment,chitgar,60,1402,1,5,6,yes,yes,yes,2023-06-21,"16,666,000","1,000,000,000"
707,AZzlhpNy,tehran,buy-apartment,mobarak-abad-beheshti,59,1399,1,2,NA,yes,yes,yes,2023-06-21,"34,406,000","2,030,000,000"
708,AZq5D5-S,tehran,buy-apartment,chitgar,50,1402,1,7,7,yes,yes,yes,2023-06-21,"20,000,000","1,000,000,000"
709,AZSmuyKE,tehran,buy-apartment,chitgar-lake,117,1396,2,4,NA,yes,yes,yes,2023-06-21,"81,196,000","9,500,000,000"
710,AZSq-AXH,tehran,buy-apartment,tarasht,91,1401,2,3,NA,yes,yes,no,2023-06-21,"84,615,000","7,700,000,000"
711,AZSm-6BR,tehran,buy-apartment,jordan,126,1402,2,2,7,yes,yes,yes,2023-06-21,"325,396,000","41,000,000,000"
